0, 0.41304347826086957
1, 0.9481754658385093
2, 0.9675854037267081
3, 0.9734083850931677
4, 0.9675854037267081
5, 0.968555900621118
6, 0.9640916149068323
7, 0.9796195652173914
8, 0.9730201863354038
9, 0.9710791925465838
10, 0.9726319875776398
11, 0.9638975155279503
12, 0.9745729813664596
Accuracy
0.9565217391304348, 0.9424460431654677
Final Weights
-0.07254413246777541,-0.1416658674155588,-0.5061438206844882,1.0784312073613989,0.011578128390309222,0.18929746212226392,-0.18195924460625443,0.28247329151808565,-0.2980792648800317,-0.0719941307851586,-0.852281039357482,-0.2417424801315091,0.22061381407095418,0.034230850474748525,-0.2728108240060967,0.03675411217781552
